size,index,value,update_ns
1000,865,2653,175477
1000,853,1901,170725
1000,173,3332,170053
1000,959,373,169968
1000,611,7246,169974
1000,103,6410,175340
1000,858,9335,169949
1000,204,4262,169908
1000,557,6973,170204
1000,744,1000,174987
1000,40,9772,170214
1000,855,4258,170321
1000,184,1000,170578
1000,984,3030,169942
1000,367,7704,169653
1000,93,6064,182037
1000,37,9920,178343
1000,807,2592,197516
1000,256,1920,174965
1000,350,8674,174344
1000,490,3450,172731
1000,73,4932,171971
1000,71,3618,179705
1000,681,2864,171986
1000,358,7144,174546
1000,989,951,171058
1000,515,7653,176210
1000,22,3188,170869
1000,635,1662,170671
1000,735,2029,170354
1000,865,2653,170276
1000,853,1901,176648
1000,173,3332,170096
1000,959,373,169717
1000,611,7246,169467
1000,103,6410,169937
1000,858,9335,174137
1000,204,4262,169966
1000,557,6973,170323
1000,744,1000,169999
1000,40,9772,169904
1000,855,4258,169918
1000,184,1000,170278
1000,984,3030,169694
1000,367,7704,169284
1000,93,6064,182704
1000,37,9920,178430
1000,807,2592,176137
1000,256,1920,184405
1000,350,8674,173894
1000,490,3450,173103
1000,73,4932,172135
1000,71,3618,171593
1000,681,2864,172207
1000,358,7144,171895
1000,989,951,171252
1000,515,7653,171118
1000,22,3188,177459
1000,635,1662,170975
1000,735,2029,170992
1000,865,2653,170840
1000,853,1901,170760
1000,173,3332,176086
1000,959,373,170497
1000,611,7246,169899
1000,103,6410,170109
1000,858,9335,169836
1000,204,4262,176007
1000,557,6973,170441
1000,744,1000,170631
1000,40,9772,170245
1000,855,4258,214831
1000,184,1000,171115
1000,984,3030,170836
1000,367,7704,170552
1000,93,6064,182284
1000,37,9920,178493
1000,807,2592,175853
1000,256,1920,174471
1000,350,8674,173448
1000,490,3450,172469
1000,73,4932,172059
1000,71,3618,171279
1000,681,2864,173297
1000,358,7144,172162
1000,989,951,171169
1000,515,7653,171069
1000,22,3188,170129
1000,635,1662,176112
1000,735,2029,170809
1000,865,2653,170439
1000,853,1901,170512
1000,173,3332,175698
1000,959,373,169748
1000,611,7246,169829
1000,103,6410,169658
1000,858,9335,169484
1000,204,4262,174820
1000,557,6973,172872
1000,744,1000,170093
1000,40,9772,169661
1000,855,4258,169711
1000,184,1000,170663
1000,984,3030,170290
1000,367,7704,169558
1000,93,6064,182564
1000,37,9920,179198
1000,807,2592,175567
1000,256,1920,174130
1000,350,8674,180894
1000,490,3450,172586
1000,73,4932,171744
1000,71,3618,171345
1000,681,2864,177142
1000,358,7144,171717
1000,989,951,171365
1000,515,7653,170693
1000,22,3188,170130
1000,635,1662,170760
1000,735,2029,170614
1000,865,2653,170436
1000,853,1901,170141
1000,173,3332,169759
1000,959,373,174861
1000,611,7246,170053
1000,103,6410,169822
1000,858,9335,169447
1000,204,4262,169680
1000,557,6973,175458
1000,744,1000,170269
1000,40,9772,169727
1000,855,4258,169547
1000,184,1000,169750
1000,984,3030,174824
1000,367,7704,169880
1000,93,6064,200668
1000,37,9920,179226
1000,807,2592,176134
1000,256,1920,174705
1000,350,8674,174010
1000,490,3450,179264
1000,73,4932,172602
1000,71,3618,171550
1000,681,2864,171866
1000,358,7144,178359
1000,989,951,171662
1000,515,7653,171013
1000,22,3188,170545
1000,635,1662,170354
1000,735,2029,175620
1000,865,2653,170243
1000,853,1901,170142
1000,173,3332,169986
1000,959,373,169686
1000,611,7246,174325
1000,103,6410,170246
1000,858,9335,169596
1000,204,4262,170083
1000,557,6973,170293
1000,744,1000,170223
1000,40,9772,169958
1000,855,4258,169579
1000,184,1000,226620
1000,984,3030,242299
1000,367,7704,170251
1000,93,6064,182175
1000,37,9920,187364
1000,807,2592,176132
1000,256,1920,174444
1000,350,8674,173303
1000,490,3450,179471
1000,73,4932,172305
1000,71,3618,174099
1000,681,2864,171427
1000,358,7144,171172
1000,989,951,176432
1000,515,7653,171025
1000,22,3188,170427
1000,635,1662,170207
1000,735,2029,170255
1000,865,2653,170202
1000,853,1901,170491
1000,173,3332,170220
1000,959,373,169968
1000,611,7246,169816
1000,103,6410,170170
1000,858,9335,170102
1000,204,4262,169926
1000,557,6973,170248
1000,744,1000,175834
1000,40,9772,170275
1000,855,4258,169941
1000,184,1000,169933
1000,984,3030,170269
1000,367,7704,174961
1000,93,6064,182019
1000,37,9920,180823
1000,807,2592,176012
1000,256,1920,174192
1000,350,8674,173484
1000,490,3450,172712
1000,73,4932,176757
1000,71,3618,171797
1000,681,2864,171516
1000,358,7144,171266
1000,989,951,231556
1000,515,7653,171752
1000,22,3188,170609
1000,635,1662,170332
1000,735,2029,170243
1000,865,2653,175394
1000,853,1901,170328
1000,173,3332,170044
1000,959,373,169954
1000,611,7246,169567
1000,103,6410,184754
1000,858,9335,169957
1000,204,4262,224551
1000,557,6973,170939
1000,744,1000,175987
1000,40,9772,170452
1000,855,4258,169571
1000,184,1000,169330
1000,984,3030,169567
1000,367,7704,174946
1000,93,6064,182289
1000,37,9920,178920
1000,807,2592,195291
1000,256,1920,175953
1000,350,8674,174811
1000,490,3450,173716
1000,73,4932,173337
1000,71,3618,172683
1000,681,2864,172789
1000,358,7144,172319
1000,989,951,171745
1000,515,7653,177288
1000,22,3188,171407
1000,635,1662,171190
1000,735,2029,171114
1000,865,2653,171150
1000,853,1901,187349
1000,173,3332,171221
1000,959,373,170434
1000,611,7246,170731
1000,103,6410,170795
1000,858,9335,176758
1000,204,4262,170546
1000,557,6973,170727
1000,744,1000,170668
1000,40,9772,175767
1000,855,4258,170403
1000,184,1000,170380
1000,984,3030,170202
1000,367,7704,170093
1000,93,6064,182512
1000,37,9920,178054
1000,807,2592,181867
1000,256,1920,174732
1000,350,8674,173565
1000,490,3450,173002
1000,73,4932,172133
1000,71,3618,176750
1000,681,2864,172199
1000,358,7144,171917
1000,989,951,171510
1000,515,7653,171189
1000,22,3188,170930
1000,635,1662,170559
1000,735,2029,171266
1000,865,2653,170724
1000,853,1901,176766
1000,173,3332,227807
1000,959,373,170863
1000,611,7246,170456
1000,103,6410,170491
1000,858,9335,176186
1000,204,4262,170378
1000,557,6973,170423
1000,744,1000,218743
1000,40,9772,175941
1000,855,4258,170446
1000,184,1000,169975
1000,984,3030,170221
1000,367,7704,169695
1000,93,6064,181527
1000,37,9920,178810
1000,807,2592,176684
1000,256,1920,182190
1000,350,8674,173814
1000,490,3450,172596
1000,73,4932,172326
1000,71,3618,179396
1000,681,2864,172353
1000,358,7144,172228
1000,989,951,171774
1000,515,7653,171315
1000,22,3188,176318
1000,635,1662,170645
1000,735,2029,170757
1000,865,2653,170228
1000,853,1901,170261
1000,173,3332,193669
1000,959,373,170751
1000,611,7246,170291
1000,103,6410,170158
1000,858,9335,170024
1000,204,4262,170078
1000,557,6973,170390
1000,744,1000,170222
1000,40,9772,170156
1000,855,4258,174445
1000,184,1000,170486
1000,984,3030,169996
1000,367,7704,169860
1000,93,6064,181746
1000,37,9920,177593
1000,807,2592,175427
1000,256,1920,173708
1000,350,8674,173214
1000,490,3450,172061
1000,73,4932,171834
1000,71,3618,171449
1000,681,2864,177464
1000,358,7144,171425
1000,989,951,170764
1000,515,7653,170414
1000,22,3188,170113
1000,635,1662,176019
1000,735,2029,170360
1000,865,2653,170257
1000,853,1901,170344
1000,173,3332,170030
1000,959,373,170230
1000,611,7246,170007
1000,103,6410,169992
1000,858,9335,169565
1000,204,4262,169657
1000,557,6973,170522
1000,744,1000,170411
1000,40,9772,170267
1000,855,4258,169660
1000,184,1000,174825
1000,984,3030,169765
1000,367,7704,169457
1000,93,6064,190984
1000,37,9920,178533
1000,807,2592,175775
1000,256,1920,174217
1000,350,8674,173605
1000,490,3450,173454
1000,73,4932,172490
1000,71,3618,171516
1000,681,2864,172102
1000,358,7144,179013
1000,989,951,171319
1000,515,7653,170795
1000,22,3188,170398
1000,635,1662,170298
1000,735,2029,177196
1000,865,2653,170505
1000,853,1901,170378
1000,173,3332,170457
1000,959,373,174761
1000,611,7246,170183
1000,103,6410,170281
1000,858,9335,169937
1000,204,4262,169544
1000,557,6973,176023
1000,744,1000,170583
1000,40,9772,170173
1000,855,4258,170177
1000,184,1000,169915
1000,984,3030,174799
1000,367,7704,169476
1000,93,6064,182336
1000,37,9920,186359
1000,807,2592,176178
1000,256,1920,174362
1000,350,8674,173305
1000,490,3450,177867
1000,73,4932,172091
1000,71,3618,171673
1000,681,2864,172798
1000,358,7144,179621
1000,989,951,171310
1000,515,7653,171303
1000,22,3188,170625
1000,635,1662,170691
1000,735,2029,175455
1000,865,2653,170400
1000,853,1901,170658
1000,173,3332,170058
1000,959,373,170077
1000,611,7246,192431
1000,103,6410,170691
1000,858,9335,170291
1000,204,4262,171236
1000,557,6973,170897
1000,744,1000,170934
1000,40,9772,170674
1000,855,4258,170177
1000,184,1000,170050
1000,984,3030,174466
1000,367,7704,170009
1000,93,6064,181843
1000,37,9920,198309
1000,807,2592,176745
1000,256,1920,174872
1000,350,8674,174306
1000,490,3450,181413
1000,73,4932,172385
1000,71,3618,172335
1000,681,2864,172026
1000,358,7144,171827
1000,989,951,176734
1000,515,7653,171061
1000,22,3188,170205
1000,635,1662,170385
1000,735,2029,170184
1000,865,2653,181002
1000,853,1901,170617
1000,173,3332,169873
1000,959,373,169496
1000,611,7246,190192
1000,103,6410,170581
1000,858,9335,170251
1000,204,4262,170158
1000,557,6973,170440
1000,744,1000,176072
1000,40,9772,170371
1000,855,4258,169989
1000,184,1000,170020
1000,984,3030,169852
1000,367,7704,174519
1000,93,6064,182303
1000,37,9920,178594
1000,807,2592,254263
1000,256,1920,223769
1000,350,8674,175155
1000,490,3450,173798
1000,73,4932,178096
1000,71,3618,174704
1000,681,2864,171716
1000,358,7144,171518
1000,989,951,178004
1000,515,7653,171295
1000,22,3188,170765
1000,635,1662,170566
1000,735,2029,170124
1000,865,2653,185478
1000,853,1901,170676
1000,173,3332,170182
1000,959,373,169905
1000,611,7246,169944
1000,103,6410,175208
1000,858,9335,170177
1000,204,4262,170125
1000,557,6973,170158
1000,744,1000,174739
1000,40,9772,170468
1000,855,4258,169939
1000,184,1000,169873
1000,984,3030,169911
1000,367,7704,173852
1000,93,6064,182363
1000,37,9920,178148
1000,807,2592,184331
1000,256,1920,174125
1000,350,8674,173574
1000,490,3450,172022
1000,73,4932,172274
1000,71,3618,171349
1000,681,2864,171825
1000,358,7144,171297
1000,989,951,171212
1000,515,7653,176403
1000,22,3188,170635
1000,635,1662,170549
1000,735,2029,170774
1000,865,2653,170821
1000,853,1901,176672
1000,173,3332,170839
1000,959,373,170178
1000,611,7246,170133
1000,103,6410,170216
1000,858,9335,174670
1000,204,4262,170060
1000,557,6973,170474
1000,744,1000,170403
1000,40,9772,176269
1000,855,4258,170439
